"Rank","Surname","Name","EmaID","Round1","Round2","Round3","Round4","Round5","Round6","Round7","Round8","Round9","Total"
1,"Olav","Sommers",8010526,-1.7,45.7,21.4,55.9,22,4.7,10.2,-7.9,2.6,152.9
2,"Sheila","Hansen",3000156,-11.4,5.4,11.5,20.1,-17.9,45.8,35.9,6.1,37.7,133.2
3,"Anneke","Keyl",8010173,-6.2,45.6,44.2,5.6,32.1,24.5,9.6,10.8,-33.3,132.9
4,"Timur","Hahn",5100153,35,3.5,33,3.6,22.5,6.1,-4.9,12.7,9.2,120.7
5,"Łukasz","Grzybowski",19000073,-11.7,36.6,-6.8,11.3,11.1,6.5,24.3,-11.3,49.4,109.4
6,"John","Duckworth",11990016,-25.9,8.9,14.1,29.9,25.8,9.7,9.4,23.5,7.6,103
7,"Jesper","Nøhr",3000176,-12,29.8,-7.1,9.4,-12.3,35.2,12,21.8,24.8,101.6
8,"Eigo","Kawatani",3000208,5.8,-10.5,-5.4,30.8,12,24.9,-5.8,11.1,28.2,91.1
9,"Tomáš","Široň",17990009,35.1,-6.7,23.1,-5.3,0.9,28.5,30.3,-4.3,-11.6,90
10,"Anna","Zubenko",21000014,-18.3,31.8,33.3,-10.6,-12.6,-12.5,46.3,9.1,20.2,86.7
11,"Thai","Chung",5100170,20.4,-15.2,-22.2,22.5,25.9,33.6,9.6,-29.3,39.8,85.1
12,"Mihnea","Petraru",25000003,33.9,-4.3,69.1,-15.4,-22.6,-4.4,5,-22.1,44.1,83.3
13,"Konsta","Lensu",14990024,15,7.4,9.3,-5.5,42.3,17.5,-27.4,23.5,-4.7,77.4
14,"Jasper","Germeys",9990047,20.2,9,30.3,-26.3,2.5,30.3,22.7,6.7,-27.7,67.7
15,"Ivar","Bouwman",8010737,8.7,26.1,10.4,25.6,2.9,42.4,3.8,-5.5,-47.1,67.3
16,"Bogdan","Bolea",25000004,-5.3,29.8,-9,-28,11.5,0.3,35.4,24,-9.5,49.2
17,"Pieter","Potmeer",8010436,-7.7,28.3,-25.9,-2.1,-5.9,24,6.9,7.1,-0.9,23.8
18,"Michael","van der Sluijs",25000002,8,-14.5,-28.8,-26,63.9,-11.5,-24.1,40.5,9,16.5
19,"Maria","Baranowska",19000007,7.7,-34,7.5,12.9,-4,-30,42.1,31.8,-20.8,13.2
20,"Sergio","Matos Lima",12990014,28.2,-28.2,-4.9,27.5,-8.8,-13.5,-15.9,18.9,-0.7,2.6
21,"Jacqueline","Oudshoorn",8010727,30.6,-29.2,-29.7,31,22.2,-9.9,22.3,-5.1,-35.3,-3.1
22,"Marjoleine","Lips",8010613,-14.1,78,3.7,-30.8,-31.8,-10.7,-6.7,-4.3,9.4,-7.3
23,"Grant","Mahoney",24000003,11.4,-29.1,36,-6.8,-7.5,-22.2,-32.6,31.8,-13.2,-32.2
24,"Nina","Popławska",19000071,13.6,-3.1,22.6,-9.5,-42.2,14,-12.2,-22.8,-41.5,-81.1
25,"Mateusz","Maćkowski",19000129,-27.5,6.1,-44.6,11.5,27,-17,-9.8,-16.3,-10.5,-81.1
26,"Valentin","Courtois",4310012,-38.5,-13.4,-30.2,-0.3,6.5,17.1,-30.1,-11.5,11.9,-88.5
27,"Daniel","Široň",17990003,-41.2,13,-41.5,7.9,15,-23,-26.3,20.4,-13.7,-89.4
28,"Szymon","Lasota",19000011,33.4,5.9,-42.5,34,-29.8,-40.4,-60.3,-34.4,37.1,-97
29,"Konstantin","Pakshaev",23000005,-4.5,-33.4,-4.1,-27,-39,-29.1,-26.9,27.9,38.4,-97.7
30,"Piti","Phanpanich",2010056,23.7,-9.4,-8.7,-19.8,-28.6,-32,-7.9,-31.4,-25.6,-139.7
31,"Mirela","Khezam",25000005,-37.2,-7.7,-32.4,-39.6,-19.6,-21.5,28.2,-31.9,16.4,-145.3
32,"Hiroshi","Kameda",5100181,-15.1,-30,9.1,-38.3,12.3,-8.7,4.2,-51,-30.1,-147.6
33,"Tamas","Erdos",,-37,-38.9,13,-24.9,-29.4,-38.4,-25,26.4,-13.3,-167.5
34,"Olivier","Cao",4160035,-30.4,-25.8,-16.6,-22.5,-5.1,-38.8,-5.4,-24.7,-41.5,-210.8
35,"SUBSTITUTE","PLAYER 1",,-30,-30,-30,-30,-30,-30,-30,-30,-30,-270
35,"SUBSTITUTE","PLAYER 2",,-30,-30,-30,-30,-30,-30,-30,-30,-30,-270
