"Rank","Surname","Name","EmaID","Total","Country"
1,"Szymon","Nowicz","19000140",105600,"POL"
2,"Ivar","Bouwman","08010737",105400,"NED"
3,"Manuel","Kameda-Schlich","05100166 ",72500,"GER"
4,"Valentin","Courois","04310012",72300,"FRA"
5,"Konstantin","Pakshaev","23000005",67400,"NOR"
6,"Mateusz","Wozniak","19000003",63900,"POL"
7,"Martyna","Jedryczka","19000102",43700,"POL"
8,"Jasper","Germeys","09990047",40800,"SWE"
9,"Vitalii","Balaniuk","21000005",29200,"UKR"
10,"Fia","Otreus",,28600,"SWE"
11,"Xiaochen","Zhu","09990163",25300,"SWE"
12,"Hiroshi","Kameda","05100181",22900,"GER"
13,"Grant","Mahoney","24000003",15900,"CAD"
14,"Thai","Chung","05100170",12600,"GER"
15,"Zuokan","Hu","05000003",9900,"GER"
16,"Mirko","Berns-Relotic","05000042",9200,"GER"
17,"Noah","Schaar",,8300,"GER"
18,"Anton","Yarchuk","21000016",6200,"UKR"
19,"Thomas","Kuhnel","05000001",3100,"GER"
20,"Jonas","Monicke","05000027",-200,"GER"
21,"Victor","Savard-Arseneault",,-2800,"CAD"
22,"Dominik","Jarno","19000035",-7000,"POL"
23,"Katarzyna","Chabelska","19000080",-8500,"POL"
24,"Anna","Zubenko","21000014",-22400,"UKR"
25,"Songqing","Lin","05000002",-25900,"GER"
26,"Chris","Luntraru","25000008",-26000,"ROU"
27,"David","Gadalean","25000009",-29900,"ROU"
28,"Gustaf","Wilen","09990159",-31600,"SWE"
29,"Ksenia","Trishina","09990127",-39300,"SWE"
30,"Tamas","Erdos","06990035",-43600,"HUN"
31,"Joshua","Backstrom","09990164",-46400,"SWE"
32,"Pieter","Potmeer","08010436",-50400,"NED"
33,"Michael","van der Sluijs","25000002",-82300,"ROU"
34,"Frank","Tobias","05100167",-82500,"GER"
35,"Mihnea","Petraru","25000003",-141200,"ROU"
36,"Nicolas","Beltran","10990086",-142800,"SPA"
